imageID	npoint	nn.mean	nn.sd	cc.mean	cc.sd
group10.day28.R32.Ral_100_1.jpg-coord.txt	38	8.69862168042643	1.90844656208698	0.740834695343854	0.133502930243157
group10.day28.R32.Ral_100_2.jpg-coord.txt	28	7.73047492807609	0.975346651732385	0.772421891098315	0.151435669547451
group10.day28.R32.Ral_100_3.jpg-coord.txt	22	7.58827096782515	2.97666382531026	0.732993289203384	0.0926936554604497
group10.day28.R32.Ral_100_4.jpg-coord.txt	33	9.46677249602223	1.82120949299341	0.778267247132859	0.100449738512037
group10.day28.R32.Ral_100_5.jpg-coord.txt	51	8.9987949410681	1.57112726499716	0.7305856239864	0.181989042203122
group18.day28.R32.RAL_100_1.jpg-coord.txt	51	9.19248877750441	2.62310121258089	0.730406571483837	0.12760981331832
group18.day28.R32.RAL_100_10.jpg-coord.txt	41	9.25848521769666	2.06710997573407	0.815378223041406	0.10653108254928
group18.day28.R32.RAL_100_2.jpg-coord.txt	41	6.73673935219808	0.976712639169152	0.714916154429681	0.215524576144303
group18.day28.R32.RAL_100_3.jpg-coord.txt	37	8.19486807391662	1.78831894015432	0.709728159399741	0.217910599224305
group18.day28.R32.RAL_100_4.jpg-coord.txt	50	8.34564571609635	1.48986313636384	0.667419047732924	0.1796141438788
group18.day28.R32.RAL_100_5.jpg-coord.txt	40	8.91091628444755	2.28555693701774	0.774065711101932	0.123397272825252
group18.day28.R32.RAL_100_6.jpg-coord.txt	27	9.18455049829442	2.67360532939476	0.780992795164898	0.101153279752789
group18.day28.R32.RAL_100_7.jpg-coord.txt	42	8.12793795805242	1.89125031385591	0.740015601427799	0.119343369978027
group18.day28.R32.RAL_100_8.jpg-coord.txt	48	8.75751009809177	1.40028496568578	0.758581011530233	0.115841284321957
group18.day28.R32.RAL_100_9.jpg-coord.txt	60	7.77376433808335	1.92324855235175	0.627878427204592	0.269236433474792
group3.day28.R32.Ral_100_1.jpg-coord.txt	89	8.18348020155497	1.54748978129422	0.737921482098239	0.18608453993518
group3.day28.R32.Ral_100_10.jpg-coord.txt	66	8.2599831403776	1.5514139121392	0.769345797533337	0.147228658118798
group3.day28.R32.Ral_100_11.jpg-coord.txt	51	7.17053976874762	1.50504626527242	0.719595159007493	0.195777992233863
group3.day28.R32.Ral_100_12.jpg-coord.txt	69	7.24659688098268	1.37728048062166	0.760998651218095	0.142849337290553
group3.day28.R32.Ral_100_13.jpg-coord.txt	59	8.29630022215678	2.06226920112584	0.751918766879328	0.149178377076221
group3.day28.R32.Ral_100_14.jpg-coord.txt	54	7.57842005967936	1.30625379544015	0.721966964682087	0.131744312611573
group3.day28.R32.Ral_100_15.jpg-coord.txt	41	8.02543866074872	1.41940133605433	0.730169647441198	0.214093505353667
group3.day28.R32.Ral_100_2.jpg-coord.txt	74	7.61721448800924	1.86939782025019	0.715349000043211	0.223583282704056
group3.day28.R32.Ral_100_3.jpg-coord.txt	74	9.70955825254594	2.27589751598326	0.739370054444298	0.160165572165125
group3.day28.R32.Ral_100_4.jpg-coord.txt	51	8.35857029627561	1.69859297700329	0.736981707941407	0.129566995179585
group3.day28.R32.Ral_100_5.jpg-coord.txt	47	7.98388017145715	2.28825344536133	0.730895988546244	0.160628672337485
group3.day28.R32.Ral_100_6.jpg-coord.txt	41	9.04645646385157	2.37454949394501	0.768890481272385	0.221206388979025
group3.day28.R32.Ral_100_7.jpg-coord.txt	48	8.62057850624648	2.480047839981	0.786419224244234	0.0918302009129393
group3.day28.R32.Ral_100_8.jpg-coord.txt	67	8.43915927299042	1.700248639835	0.728597756340903	0.143653374436185
group3.day28.R32.Ral_100_9.jpg-coord.txt	76	7.97111786215892	1.51662076789235	0.666409677330492	0.268852702890945
group10.day28.R32.Ral_101_1.jpg-coord.txt	33	9.289488651006	3.57190888119751	0.766963195584049	0.124393607275129
group10.day28.R32.Ral_101_2.jpg-coord.txt	66	8.80798034023009	1.70948096728814	0.706796042619022	0.179961392554618
group10.day28.R32.Ral_101_3.jpg-coord.txt	66	8.29642440372253	1.39957237719032	0.712586883505062	0.134286915375447
group10.day28.R32.Ral_101_4.jpg-coord.txt	58	8.78288324703523	1.84798774876441	0.711733242419441	0.191405348871691
group10.day28.R32.Ral_101_5.jpg-coord.txt	44	8.00187613477644	1.91107215760178	0.723613557949444	0.246900214248365
group10.day28.R32.Ral_101_6.jpg-coord.txt	46	9.09304207938381	3.09849119673741	0.693730002374041	0.200224511824613
group10.day28.R32.Ral_101_7.jpg-coord.txt	30	9.05091722835238	2.26189992955605	0.786647991835886	0.113618366702991
group18.day28.R32.Ral_101_1.jpg-coord.txt	62	8.01595639716255	1.12039473823409	0.714056414997912	0.138102174539496
group18.day28.R32.Ral_101_2.jpg-coord.txt	70	8.2752801505357	1.15844837817553	0.662701430848357	0.179541253035819
group18.day28.R32.Ral_101_3.jpg-coord.txt	47	7.60519937340214	1.85351418669632	0.692703580537279	0.227417258676629
group18.day28.R32.Ral_101_4.jpg-coord.txt	48	8.79060952380174	1.96501193156092	0.720445281072078	0.186593015643466
group18.day28.R32.RAL_101_5.jpg-coord.txt	37	7.74201144355539	2.48966856968618	0.714117314763538	0.144056036170858
group18.day28.R32.RAL_101_6.jpg-coord.txt	78	7.89077420926108	1.43805070549906	0.698503161120047	0.184949730079912
group18.day28.R32.RAL_101_7.jpg-coord.txt	79	7.56626568738877	0.987583261635755	0.652070250629682	0.195568608589257
group18.day28.R32.RAL_101_8.jpg-coord.txt	51	9.09640829206664	2.18483512651427	0.71184718637883	0.183706219141124
