imageID	npoint	mean.s.area	sd.s.area	mean.s.perimeter	sd.s.perimeter	mean.s.radius.mean	sd.s.radius.mean	mean.s.radius.sd	sd.s.radius.sd	mean.s.radius.min	sd.s.radius.min	mean.s.radius.max	sd.s.radius.max
Cecilia1-Group27.day28.R32_100_1.jpg-area.txt	62	39.5178571428571	26.9058905827692	21.8392857142857	10.14759583836	3.02469872491859	1.03591329900021	0.686162122819234	0.522344186459576	1.72086495682824	0.479410513922819	4.24181902292352	2.07178440947089
Cecilia1-Group27.day28.R32_100_10.jpg-area.txt	56	33.02	32.7591644756526	20.12	14.6825455169444	2.75189906168541	1.74831896009567	0.505089756282662	0.299483329115585	1.63006211893325	0.355276351511376	3.77169667388003	3.44182959331301
Cecilia1-Group27.day28.R32_100_11.jpg-area.txt	54	35.5833333333333	21.044869323013	20.4583333333333	9.31244496390039	2.75526662669244	0.849204118411007	0.630613432123545	0.468774878719522	1.51378274681411	0.484949021357932	3.84358751469357	1.82083817774582
Cecilia1-Group27.day28.R32_100_12.jpg-area.txt	51	37.5555555555556	27.8922892208545	19.6888888888889	9.04740601252953	2.75931393916426	0.905037921964378	0.54222203668558	0.373223958182311	1.65966529239185	0.361398016401697	3.83941382521315	2.17268594268321
Cecilia1-Group27.day28.R32_100_13.jpg-area.txt	46	38.4	23.6185498588693	21.75	9.00640797517993	2.94374261593659	0.996828817236968	0.613939403211033	0.382659395970044	1.63046521813376	0.42308052726005	4.01675491520627	1.62269647023839
Cecilia1-Group27.day28.R32_100_14.jpg-area.txt	33	39.4814814814815	20.3363455804368	25.6296296296296	13.7732967623479	3.04436645693309	0.873030254361051	0.753677068746302	0.422249155418643	1.55021818681833	0.426438245270899	4.76056959414192	2.66013717588139
Cecilia1-Group27.day28.R32_100_15.jpg-area.txt	52	36.7826086956522	25.7741584998776	21.2826086956522	12.1484576862493	2.79159545669822	0.895401825544617	0.545571422657423	0.389209406629234	1.66718594030853	0.578351443049311	3.88315869348773	2.08438800385703
Cecilia1-Group27.day28.R32_100_16.jpg-area.txt	63	34.9649122807018	29.519947803066	17.9824561403509	7.95184441333801	2.67115743571613	1.35402723812152	0.529012303634441	0.385334627479038	1.52611439237242	0.525553071651405	3.63802403957367	2.60227023338425
Cecilia1-Group27.day28.R32_100_2.jpg-area.txt	62	33.5357142857143	28.1211433142165	20.5178571428571	12.784921618032	2.68496211370441	1.15413985207817	0.580821818231066	0.518405288819857	1.57690720314289	0.507819618260617	3.76303908688043	2.29819351139015
Cecilia1-Group27.day28.R32_100_3.jpg-area.txt	52	38.6739130434783	22.1540609247816	20.6304347826087	7.28273054912838	3.02202429417591	0.883851789708633	0.745974972882028	0.443791544209739	1.50952182237692	0.472944726205595	4.25284378120229	1.65489111275715
Cecilia1-Group27.day28.R32_100_4.jpg-area.txt	68	32.2096774193548	23.0118551747303	18.1451612903226	8.32504964627258	2.62314886525939	0.877619984372599	0.519537238966577	0.352169251633071	1.61376622403566	0.414198321174993	3.66053288179023	2.27568754634368
Cecilia1-Group27.day28.R32_100_5.jpg-area.txt	54	46.5625	76.6947267875783	23.0833333333333	22.7248419073997	3.21573365337733	2.45007250711425	0.68809765269586	0.54068498635789	1.56985747997146	0.449749740974248	4.75470125575544	5.08392937587381
Cecilia1-Group27.day28.R32_100_6.jpg-area.txt	81	39.4533333333333	34.2748404034896	22.5333333333333	15.04976729041	3.08377918204207	1.59239189541401	0.679460528985135	0.514037317258739	1.67142572514127	0.483304857999476	4.4092308295042	3.29181446977969
Cecilia1-Group27.day28.R32_100_7.jpg-area.txt	63	39	31.6284230219773	21.7368421052632	11.2750139622807	2.93114057391029	1.06302835046971	0.595818757591893	0.403019466227398	1.79738474113892	0.572775394312704	4.08755664516046	2.16491045320576
Cecilia1-Group27.day28.R32_100_8.jpg-area.txt	48	35.9523809523809	22.5669220276615	20.1666666666667	8.76499875938568	2.79289212335451	0.710697061761115	0.518074007630852	0.317154242816883	1.77453069417291	0.403584907129451	3.54713395499338	1.06230128315967
Cecilia1-Group27.day28.R32_100_9.jpg-area.txt	65	34.5084745762712	16.0702905166066	20.0169491525424	7.99243505560474	2.82456589246555	0.790730247191461	0.582891496380654	0.38368958475913	1.68216262499092	0.447041580025546	3.76929194078319	1.33530256014707
Cecilia2-Group27.day28.R32_100_1.jpg-area.txt	36	57.5333333333333	47.729650535384	27.4666666666667	13.5053841966399	3.50094386631082	1.16425338991727	0.876044296891042	0.658122069283532	1.62029371815411	0.551963748700991	5.05897512205653	3.12015760235846
Cecilia2-Group27.day28.R32_100_2.jpg-area.txt	48	48.5714285714286	38.9547222204865	23.1428571428571	11.4627103349512	3.19629679719839	1.17141517201311	0.735542469652816	0.53085584262482	1.68847612095948	0.397136051766581	4.77570216034834	2.83287137877754
Cecilia2-Group27.day28.R32_100_3.jpg-area.txt	70	36.984375	24.0267656223188	20.328125	8.65577096691832	2.92070787829115	0.945911091517961	0.596276793274475	0.429317702353111	1.77897578266198	0.458031824183524	4.06970659494101	2.25132984666854
Cecilia2-Group27.day28.R32_100_4.jpg-area.txt	47	44.4634146341463	33.2716828256219	23.3414634146341	10.5418446111142	3.15708729796463	1.13063089299337	0.806746191915673	0.611779726319324	1.66030237232554	0.468144514900457	4.60154365934004	2.39569822747317
Cecilia2-Group27.day28.R32_100_5.jpg-area.txt	60	42.5185185185185	39.044599916883	23	12.5833073014017	3.09501320739422	1.2938144445167	0.746320628758822	0.600900813035192	1.58436101253152	0.515268477185319	4.48242226598981	2.62873913136162
