s.area s.perimeter s.radius.mean s.radius.sd s.radius.min s.radius.max
13 11 1.6155084356633 0.482812283307162 0.838140405208444 2.33018283963205
14 14 1.84884801905938 0.912009321454666 0.5 3.04138126514911
38 28 3.58985238119519 1.76291175060209 0.928571428571428 6.45905471064474
24 15 2.2831635611971 0.291447989527385 1.87142251301575 2.83470555006258
22 14 2.19420205811334 0.330070774117112 1.4655917520488 2.87937776724948
24 15 2.2831635611971 0.291447989527384 1.87142251301576 2.83470555006257
21 14 2.12664776984999 0.331696132350927 1.62882203585592 2.63415555922654
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
16 12 1.76119933457601 0.25464400750007 1.58113883008419 2.12132034355964
26 18 2.46145765873422 0.912798719817591 0.404450549404475 3.74866231285274
22 14 2.19420205811334 0.330070774117112 1.4655917520488 2.87937776724948
18 12 1.9377343588085 0.315201873978669 1.25 2.35849528301415
34 18 2.98620726031885 0.767293319353914 1.80875784401108 4.33902759772592
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
19 13 1.98697656442969 0.333310260928636 1.39313617509807 2.56051030416819
29 16 2.60502422610356 0.55108305309958 1.65004734780551 3.44204245325359
18 12 1.95477615018027 0.309058035574307 1.5 2.5
46 23 3.56949623217773 0.915989581337717 1.715050688984 5.23222528896454
26 14 2.42975291896459 0.246143184079399 2.06155281280883 2.69258240356725
25 14 2.39939015534248 0.354372605699233 1.78571428571429 3.03129931056042
22 14 2.30990250197269 0.567902893711972 1.24744637118378 3.29269444903317
35 18 2.88140732951684 0.408200445707454 1.84925744189925 3.37931251683235
21 14 2.16283980250018 0.495573785097716 1.51354429288693 2.95286094408491
23 15 2.24194135321641 0.485717192366522 1.43913554299486 3.01182853282041
79 35 4.91448730390763 2.05069879800494 1.02100390772604 8.24532025590571
21 14 2.16283980250018 0.495573785097716 1.51354429288693 2.95286094408491
24 15 2.33769359074876 0.518191093232494 1.34164078649987 3.25576411921994
33 18 2.80008942214308 0.54624913445362 1.53659074288215 3.65528536657689
34 21 2.85386023494268 0.886107767053437 0.937986457313915 4.09689888804523
23 15 2.2419413532164 0.485717192366522 1.43913554299486 3.0118285328204
36 18 2.93839112502751 0.387050660306292 2.2838671990105 3.69601052855109
22 14 2.20277340118616 0.46820712772804 1.58113883008419 2.91547594742265
83 35 4.8505211944387 1.47212024639703 1.77832757938234 7.37502680728438
15 11 1.71680607651965 0.246660411163049 1.41128860875092 2.13006809342909
25 16 2.44413661272475 0.74400266688929 0.8125 3.50501872320249
21 14 2.13251383063434 0.395558333000707 1.41781666009137 2.92944237920141
369 126 13.1747659707313 5.90973025906253 1.28816149620784 23.4102608362501
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
37 18 2.98726139758964 0.371480467228786 2.22222222222222 3.73339947031365
24 15 2.3252488629153 0.459342468414242 1.14697670227235 3.03021818063027
19 13 1.98697656442969 0.333310260928636 1.39313617509807 2.56051030416819
32 18 2.80920444130836 0.669235817759978 1.79333471017433 3.9007754847871
32 19 2.74552995832429 0.583250882068869 1.67514004871995 3.62967150517193
17 13 1.89508033833481 0.620485190962336 0.97300851082104 2.84615384615385
141 57 6.21839276300127 2.27207143126926 1.62031577389738 10.5868580588396
26 15 2.41885218713371 0.362458713539495 1.79381653960983 2.94693814737338
15 12 1.71676051329096 0.468401544266904 1 2.23606797749979
22 16 2.2183884784216 0.667787435346244 0.712609640686961 3.24157561997249
45 20 3.36201749175344 0.440838275497815 2.59855729203726 4.2252218876646
56 28 3.85286244502286 1.11224261417807 1.57790871674104 5.74988908499946
43 24 3.24892247226872 0.794986018233849 1.25 4.42295150323853
42 21 3.20260689372886 0.527689754051214 2.16862810223537 4.2469143126673
38 21 3.06165442797147 0.67710539073908 1.83256013379942 4.32888311518609
22 14 2.20277340118616 0.46820712772804 1.58113883008419 2.91547594742265
33 18 2.76540291186704 0.325012545589198 2.26623089493013 3.38661125647293
65 30 4.49517890415436 1.67299796030992 1.60034718455437 6.99245625259425
96 38 5.24499318200006 1.86890786393429 1.84885979686845 8.12386791601744
28 18 2.51195471408632 0.545992862350371 1.15603622481582 3.36696001655595
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
115 40 5.57426583290769 1.16245878381901 2.73427321239118 7.45494802128089
30 17 2.66189584410681 0.47145412569576 1.89060690352802 3.3934600239661
55 24 3.70773932094695 0.409389403208507 2.59038017372826 4.33513584305933
18 13 1.93255035652896 0.3832830862607 1.31671098220182 2.5197445160245
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
108 52 7.19035035310208 3.56740474190191 1.10739846529907 13.0912252106055
36 19 2.94935255250055 0.49310016822767 2.01449044305312 3.94771928265245
32 18 2.75016574214908 0.565070296593563 1.41639430933133 3.68262520426146
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
48 28 3.85065719387981 1.65646241932928 1 6.32455532033676
