m.cx m.cy m.majoraxis m.eccentricity m.theta
49.2692307692308 3.46153846153846 6.39538453634397 0.56678352532063 -1.55998720017665
62.8223684210526 9.80263157894737 20.4070545454778 0.758850708617967 1.10466755352166
40.2439024390244 5.80487804878049 7.44431358248481 0.290889380340693 -1.2010695730001
32.5 7 4.47213595499958 0.683130051063975 0
74 7 3.26598632371165 6.76978629326853e-07 0
77.9302325581395 15.6627906976744 15.4762742248809 0.840739347421497 1.42135145181269
25.6888888888889 15.0222222222222 9.28641881062219 0.716353814920429 0.871524162457238
47.0909090909091 13.0909090909091 5.50281670924411 0.428259399823311 0.785398163397285
39.6086956521739 14.4347826086957 6.66728160880372 0.757544515981115 0.107534069195571
33.9411764705882 19.5882352941176 5.6953065164735 0.759283494666159 0.434617402732849
51.2881355932203 24.0338983050847 22.6974980561858 0.943857657236907 -0.431172472014457
13 23 3.26598632371088 2.06476546236143e-07 0
21.0909090909091 24.0909090909091 5.50281670924432 0.428259399823435 0.78539816339753
27.0833333333333 23.9166666666667 5.77350269189623 0.408248290463835 0.785398163397285
74 23 3.26598632371165 7.15255737304688e-07 0
88.7777777777778 26.8333333333333 13.0026320223665 0.81000437878691 0.762908885150805
36 27 5.65685424949238 0 0
67 29.3333333333333 5.33333333333273 0.612372435695638 0
7.42105263157895 31.4736842105263 6.92820323027549 0.864825090797632 -1.24904577239825
20.2631578947368 31.7368421052632 8.05884273253426 0.652903276061076 0.724412085632449
80.5 30.5 6.55996657680313 0.772836515749507 0.219168279928972
28.1052631578947 31.5789473684211 5.54469823377714 0.632280896446578 -0.22375998757851
63.8790697674419 38.1767441860465 34.6573247665918 0.938376001974938 0.333995079112605
39.7049180327869 36.6065573770492 12.1647645779213 0.843188630860207 1.14107222028774
13.5 35.5 4.47213595499958 0 0
79 36 3.26598632371165 5.84003863998217e-07 0
91.5 37 4.47213595499958 0.683130051063929 0
8 38.5 5.65685424949238 0.612372435695794 0
83.8923076923077 43.0307692307692 12.6529784375087 0.823072285244998 1.53851097078226
22.3488372093023 42.2790697674419 8.51509287099796 0.653842523762899 -1.52046200071601
31.9166666666667 40.9166666666667 5.77350269189631 0.40824829046383 -0.785398163397776
10.9264705882353 49.6029411764706 14.2701212861423 0.883792585872379 -1.28651572061961
93 46.3461538461538 6.49246487854969 0.629109359511337 -1.25514649119794
1.92857142857143 47.1428571428571 5.44935366589671 0.816539963138335 1.44580701606445
46.5645161290323 50.5645161290323 9.8405671083235 0.55118628277644 1.56867409845254
55 47.5 4.47213595499958 0.683130051064062 1.5707963267949
68.5 48.5 4.47213595499958 0 0
21.0833333333333 50.0833333333333 5.77350269189623 0.408248290463835 -0.785398163397285
31.027027027027 50.7297297297297 8.53404991966871 0.757219398278915 0.797433912114111
78.6 54.4 4.61880215351924 0.489897948557569 0.785398163396738
89.188679245283 56.2641509433962 9.83819503596542 0.708232043008207 -0.594861750470451
59.92 56.94 10.0147755075539 0.771074767524464 0.43955435346097
73.2857142857143 57.7142857142857 6.86146227617362 0.814690770971502 1.37795583921052
1.5 57.5 4.47213595499958 0.894427190999916 1.5707963267949
16.1739130434783 58.8695652173913 5.8790287357261 0.520404143925146 0.909454887945859
7.95454545454545 60.0909090909091 6.00596053861272 0.641707776881719 0.708312078468409
23.6666666666667 60 5.33333333333341 0.612372435695873 1.5707963267949
32.6 59.4 4.61880215351707 0.489897948556406 0.785398163397804
44.6862745098039 63.156862745098 17.8838554108879 0.872573584715381 0.323602201306729
83.9166666666667 64.0833333333333 5.77350269189647 0.408248290464086 0.785398163398758
75.7177914110429 72.3435582822086 19.8097294387579 0.66948842675429 -1.1337137337276
62.12 68.45 15.5511216038111 0.793484711052764 -0.299652425302701
6.14285714285714 66.8571428571429 6.11010092660742 0.712241974147553 0.785398163397283
21.9935897435897 72.4358974358974 17.8591897935013 0.752341702053492 0.60825827524886
36.46875 71.65625 6.7719995407909 0.469901086992049 -0.667025505278205
13.1410256410256 79.9358974358974 24.6899934015168 0.979542127396339 0.783509768077923
47.7027027027027 75 7.79292027257512 0.626629424969772 -1.28318401930714
58.4193548387097 78.5483870967742 6.42575463121988 0.331175813360276 1.03037682652493
38.3142857142857 81.8285714285714 7.44649699536263 0.602835677606417 -1.25215695858691
27.3888888888889 85.1388888888889 7.34500568708491 0.543905643909873 1.27357687593995
54.0142857142857 86.8 15.9678195749008 0.918368480415993 0.381655159416399
35.5555555555556 90.8888888888889 6.77359168970825 0.574080601348338 -1.39752689457794
46.5 92.5 4.47213595499958 0.894427190999916 0
