group	line	day	class	imageID	npoint	nn.mean	nn.sd	cc.mean	cc.sd	mean.s.area	sd.s.area	mean.s.perimeter	sd.s.perimeter	mean.s.radius.mean	sd.s.radius.mean	mean.s.radius.sd	sd.s.radius.sd	mean.s.radius.min	sd.s.radius.min	mean.s.radius.max	sd.s.radius.max	batch
group10	100	28	line	group10.day28.R32.Ral_100_1	38	8.69862168042643	1.90844656208698	0.740834695343854	0.133502930243157	42.78125	38.2965797975948	22.9375	12.6361935366935	2.81493633930933	1.03266868460951	0.665030493830868	0.465584287121743	1.53533213156794	0.522070612260582	4.25318404229462	2.70267543334541	batch1
group10	100	28	line	group10.day28.R32.Ral_100_2	28	7.73047492807609	0.975346651732385	0.772421891098315	0.151435669547451	48.6363636363636	41.5457813508417	27.6818181818182	15.2577423395043	3.06603244618031	1.08248986006072	0.836006436318609	0.547239784142965	1.33429663021139	0.443460005874957	4.74630877365906	2.89785370069578	batch1
group10	100	28	line	group10.day28.R32.Ral_100_3	22	7.58827096782515	2.97666382531026	0.732993289203384	0.0926936554604497	71.625	89.3852150339566	25.125	17.1109126972623	3.37697798635075	2.15759656133134	0.789872086305183	0.716667797853864	1.43889203178852	0.368996312158534	6.13352846686507	5.54081448177335	batch1
group10	100	28	line	group10.day28.R32.Ral_100_4	33	9.46677249602223	1.82120949299341	0.778267247132859	0.100449738512037	51.6296296296296	67.9434992351666	26.962962962963	23.7785965191736	3.56890683472953	2.28227289618041	0.829901847276575	0.58276137927212	1.66883030621338	0.443939000753617	4.78832948114549	4.57599368616628	batch1
group10	100	28	line	group10.day28.R32.Ral_100_5	51	8.9987949410681	1.57112726499716	0.7305856239864	0.181989042203122	41.5555555555556	19.4112848569583	23.4222222222222	8.56655465084176	3.15697756824052	0.94591461632521	0.762629293038837	0.475834016456642	1.69536277380101	0.509700530282552	4.4500676421071	1.83773706267704	batch1
group18	100	28	line	group18.day28.R32.RAL_100_1	51	9.19248877750441	2.62310121258089	0.730406571483837	0.12760981331832	52.5111111111111	54.7853755461927	27.3111111111111	17.6091688697345	3.49094622442211	1.92821985030832	0.783144585263831	0.490243333061636	1.68606633047605	0.636910490422255	5.12182193760013	3.75801029402733	batch1
group18	100	28	line	group18.day28.R32.RAL_100_10	41	9.25848521769666	2.06710997573407	0.815378223041406	0.10653108254928	60.4285714285714	51.8494912983643	26.2	10.596336769902	3.61270336780828	1.64700871199579	0.995014353301677	0.610523970433228	1.4826470326934	0.476814975353033	5.56892124894406	3.60951916933084	batch1
group18	100	28	line	group18.day28.R32.RAL_100_2	41	6.73673935219808	0.976712639169152	0.714916154429681	0.215524576144303	41.5714285714286	44.0055382305226	22.6857142857143	18.1039018033186	2.56087422917112	1.03012564214822	0.642674091242046	0.478614671123181	1.27218156361438	0.400811615810493	4.04062173338741	3.18293381742151	batch1
group18	100	28	line	group18.day28.R32.RAL_100_3	37	8.19486807391662	1.78831894015432	0.709728159399741	0.217910599224305	48.1290322580645	49.2502060472738	24.4193548387097	13.1168446244981	3.07668731656485	1.13308433650926	0.791766994275985	0.611134096966092	1.36830014697609	0.524986746687781	4.83488597506496	3.5146073012411	batch1
group18	100	28	line	group18.day28.R32.RAL_100_4	50	8.34564571609635	1.48986313636384	0.667419047732924	0.1796141438788	37.5454545454545	24.1934591828131	19.9318181818182	8.74549113669366	2.78912486812834	0.919018774964783	0.566173028239868	0.350811340448255	1.67885989553669	0.401826304221583	3.80229380277349	1.77984141330793	batch1
group18	100	28	line	group18.day28.R32.RAL_100_5	40	8.91091628444755	2.28555693701774	0.774065711101932	0.123397272825252	47.2352941176471	35.1757998970275	27.4411764705882	11.605095997855	3.41896606032343	1.19871910418128	0.893479281143689	0.555130097493074	1.69052022920776	0.525666226123001	5.04820458360841	2.53866598464402	batch1
group18	100	28	line	group18.day28.R32.RAL_100_6	27	9.18455049829442	2.67360532939476	0.780992795164898	0.101153279752789	60.9047619047619	64.0069564671722	30.0952380952381	20.2358710262365	3.33604814198875	1.17328641801079	0.985304464206881	0.611844076454287	1.24254440077714	0.429840842274779	5.48209271917636	3.64410450552484	batch1
group18	100	28	line	group18.day28.R32.RAL_100_7	42	8.12793795805242	1.89125031385591	0.740015601427799	0.119343369978027	39.1666666666667	34.9526209930774	22.1944444444444	12.8281374763101	2.92518155296539	1.21514053688518	0.726923992011231	0.579267620924939	1.39961936991757	0.379374519434811	4.2172320807312	2.44973870839298	batch1
group18	100	28	line	group18.day28.R32.RAL_100_8	48	8.75751009809177	1.40028496568578	0.758581011530233	0.115841284321957	45.4285714285714	29.0551560070211	23.1190476190476	9.58709086563645	3.03908272680329	0.913677254017285	0.746083000927621	0.431136262741793	1.51284560178186	0.439609391738752	4.35190721851394	1.91387286409809	batch1
group18	100	28	line	group18.day28.R32.RAL_100_9	60	7.77376433808335	1.92324855235175	0.627878427204592	0.269236433474792	39.2777777777778	37.9927583301685	21.462962962963	15.2435732984187	2.64604796916572	1.16352598728425	0.604138008881722	0.510856492868541	1.48289730453577	0.457417573164477	3.80643842803481	2.58665148843656	batch1
group3	100	28	line	group3.day28.R32.Ral_100_1	89	8.18348020155497	1.54748978129422	0.737921482098239	0.18608453993518	35.0722891566265	34.881605723742	20.4096385542169	12.1294201343095	2.67702663695579	1.11661613193843	0.71336020793643	0.506006065569685	1.29234637275134	0.440898316445274	4.01242858306447	2.57204969872921	batch1
