gene	maxT	ngreater	total.permu	pvalue	rank
85	FBgn0029662	4.33695	4538	1000000	0.00453899546100454	85
86	FBgn0033101	3.83256	4550	1000000	0.00455099544900455	86
87	FBgn0264566	3.89106	4632	1000000	0.00463299536700463	87
88	FBgn0003082	3.59495	4684	1000000	0.00468499531500468	88
89	FBgn0265793	4.04435	4861	1000000	0.00486199513800486	89
90	FBgn0031442	4.00546	4898	1000000	0.0048989951010049	90
91	FBgn0261616	3.66466	4960	1000000	0.00496099503900496	91
92	FBgn0029990	3.92485	4982	1000000	0.00498299501700498	92
93	FBgn0261241	4.03307	4985	1000000	0.00498599501400499	93
94	FBgn0267070	3.58579	5025	1000000	0.00502599497400503	94
95	FBgn0035426	4.02608	5056	1000000	0.00505699494300506	95
96	FBgn0260874	3.83843	5098	1000000	0.0050989949010051	96
97	FBgn0030596	4.14017	5134	1000000	0.00513499486500513	97
98	FBgn0039031	3.98372	5161	1000000	0.00516199483800516	98
99	FBgn0050363	3.7437	5182	1000000	0.00518299481700518	99
100	FBgn0050366	3.7437	5182	1000000	0.00518299481700518	100
101	FBgn0001137	3.92316	5544	1000000	0.00554499445500554	101
102	FBgn0000227	4.13695	5713	1000000	0.00571399428600571	102
103	FBgn0004034	3.66085	5741	1000000	0.00574199425800574	103
104	FBgn0037385	3.68523	5782	1000000	0.00578299421700578	104
105	FBgn0033371	3.70404	5820	1000000	0.00582099417900582	105
106	FBgn0034263	3.75999	5822	1000000	0.00582299417700582	106
107	FBgn0261283	3.83843	5986	1000000	0.00598699401300599	107
108	FBgn0004175	3.42591	6002	1000000	0.006002993997006	108
109	FBgn0030678	3.6541	6007	1000000	0.00600799399200601	109
110	FBgn0032647	4.06145	6084	1000000	0.00608499391500609	110
111	FBgn0051898	3.8913	6167	1000000	0.00616799383200617	111
112	FBgn0038924	4.04033	6203	1000000	0.0062039937960062	112
113	FBgn0085223	3.87132	6230	1000000	0.00623099376900623	113
114	FBgn0039207	4.23962	6244	1000000	0.00624499375500624	114
115	FBgn0265147	3.96425	6273	1000000	0.00627399372600627	115
116	FBgn0266350	4.85999	6349	1000000	0.00634999365000635	116
117	FBgn0001084	3.8913	6375	1000000	0.00637599362400638	117
118	FBgn0003317	3.71611	6412	1000000	0.00641299358700641	118
119	FBgn0264442	4.66835	6473	1000000	0.00647399352600647	119
120	FBgn0266846	3.78166	6489	1000000	0.00648999351000649	120
121	FBgn0039034	3.88354	6540	1000000	0.00654099345900654	121
122	FBgn0265761	3.88604	6565	1000000	0.00656599343400657	122
123	FBgn0038067	3.69314	6609	1000000	0.00660999339000661	123
124	FBgn0036032	4.08607	6620	1000000	0.00662099337900662	124
125	FBgn0029531	3.65205	6746	1000000	0.00674699325300675	125
126	FBgn0002576	4.41706	6865	1000000	0.00686599313400687	126
127	FBgn0260749	4.15001	6882	1000000	0.00688299311700688	127
128	FBgn0039251	3.72708	6894	1000000	0.00689499310500689	128
129	FBgn0020369	3.44168	6903	1000000	0.0069039930960069	129
130	FBgn0015664	4.0325	6918	1000000	0.00691899308100692	130
131	FBgn0014417	3.87759	6996	1000000	0.006996993003007	131
132	FBgn0037389	3.54565	7063	1000000	0.00706399293600706	132
133	FBgn0262036	3.98953	7075	1000000	0.00707599292400708	133
134	FBgn0083938	3.93565	7097	1000000	0.0070979929020071	134
135	FBgn0037388	3.54565	7108	1000000	0.00710899289100711	135
136	FBgn0265545	3.85782	7189	1000000	0.00718999281000719	136
137	FBgn0042207	3.69314	7227	1000000	0.00722799277200723	137
138	FBgn0015790	4.05636	7241	1000000	0.00724199275800724	138
139	FBgn0041092	4.91859	7265	1000000	0.00726599273400727	139
140	FBgn0050385	3.80369	7399	1000000	0.0073999926000074	140
141	FBgn0264890	3.96207	7571	1000000	0.00757199242800757	141
142	FBgn0032421	4.02448	7620	1000000	0.00762099237900762	142
143	FBgn0263316	3.92683	7621	1000000	0.00762199237800762	143
144	FBgn0027330	3.84125	7655	1000000	0.00765599234400766	144
145	FBgn0261596	3.59979	7816	1000000	0.00781699218300782	145
146	FBgn0032172	4.0325	7820	1000000	0.00782099217900782	146
147	FBgn0051262	4.11895	7825	1000000	0.00782599217400783	147
148	FBgn0026395	4.00546	7827	1000000	0.00782799217200783	148
149	FBgn0260718	2.839	7917	1000000	0.00791799208200792	149
150	FBgn0020306	4.21975	7927	1000000	0.00792799207200793	150
