genename nsnp obs ngreater nperm prop rank log log.snp
FBgn0033599 85 4.19444 26 10000 0.0026997300269973 46 2.56867966311788 1.92941892571429
FBgn0036317 199 4.51603 27 10000 0.0027997200279972 47 2.55288539593464 2.29885307640971
FBgn0031322 354 4.7209 28 10000 0.0028997100289971 48 2.53764542937791 2.54900326202579
FBgn0259211 946 4.92589 28 10000 0.0028997100289971 48 2.53764542937791 2.97589113640179
FBgn0265348 102 4.29821 29 10000 0.002999700029997 50 2.5229221725572 2.00860017176192
FBgn0029532 18 3.65205 29 10000 0.002999700029997 50 2.5229221725572 1.25527250510331
FBgn0030556 68 4.11483 29 10000 0.002999700029997 50 2.5229221725572 1.83250891270624
FBgn0010473 898 4.88995 29 10000 0.002999700029997 50 2.5229221725572 2.9532763366673
FBgn0033159 684 4.88044 29 10000 0.002999700029997 50 2.5229221725572 2.83505610172012
FBgn0034724 251 4.54702 29 10000 0.002999700029997 50 2.5229221725572 2.39967372148104
FBgn0035398 459 4.69836 29 10000 0.002999700029997 50 2.5229221725572 2.66181268553726
FBgn0036891 18 3.87518 33 10000 0.0033996600339966 57 2.46856451023461 1.25527250510331
FBgn0032017 98 4.12856 33 10000 0.0033996600339966 57 2.46856451023461 1.99122607569249
FBgn0010226 140 4.25225 34 10000 0.0034996500349965 59 2.45597538292659 2.14612803567824
FBgn0038088 91 4.21512 35 10000 0.0035996400359964 60 2.44374092650958 1.95904139232109
FBgn0262167 154 4.23962 36 10000 0.0036996300369963 61 2.43184170320987 2.18752072083646
FBgn0267085 40 4.08055 36 10000 0.0036996300369963 61 2.43184170320987 1.60205999132796
FBgn0050089 632 4.7956 36 10000 0.0036996300369963 61 2.43184170320987 2.80071707828239
FBgn0264476 59 4.0904 37 10000 0.0037996200379962 64 2.42025983066005 1.77085201164214
FBgn0261041 335 4.50528 37 10000 0.0037996200379962 64 2.42025983066005 2.52504480703685
FBgn0031534 125 4.29288 38 10000 0.0038996100389961 66 2.40897882025036 2.09691001300806
FBgn0028525 105 4.14326 39 10000 0.003999600039996 67 2.3979834359489 2.02118929906994
FBgn0010803 36 4.03307 40 10000 0.0040995900409959 68 2.38725957055713 1.55630250076729
FBgn0034400 133 4.28031 40 10000 0.0040995900409959 68 2.38725957055713 2.12385164096709
FBgn0031442 45 4.00546 41 10000 0.0041995800419958 70 2.37679413687896 1.65321251377534
FBgn0029812 51 4.08055 41 10000 0.0041995800419958 70 2.37679413687896 1.70757017609794
FBgn0035426 62 4.02608 42 10000 0.0042995700429957 72 2.36657497169728 1.79239168949825
FBgn0036906 29 3.83843 43 10000 0.0043995600439956 73 2.35659075079068 1.46239799789896
