s.area s.perimeter s.radius.mean s.radius.sd s.radius.min s.radius.max
38 20 3.04923397519851 0.690776493878523 1.42302494707577 4.2573465914816
70 32 4.42337444373661 1.5191385611582 1.33500058520586 7.20032822602553
18 13 1.93255035652896 0.3832830862607 1.31671098220182 2.51974451602449
156 69 7.58753702159858 3.18793841581929 2.71169451165755 13.9685862944889
59 25 3.88437627394141 0.539278186505874 2.53392975435389 4.92146319705837
70 32 4.29646082058662 1.23403658461335 1.52645934272748 6.38984179185995
24 15 2.34981220815907 0.548274391713496 1.05409255338946 3.33333333333334
15 11 1.71680607651965 0.24666041116305 1.41128860875091 2.13006809342909
71 29 4.31452932187018 1.05870924628901 1.75828259089406 5.96152946243748
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
127 45 5.84166141470869 1.50306002766617 2.36037243347133 8.45735854627478
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
33 18 2.75903508545724 0.331583502964446 2.22361067735439 3.30823887354654
15 12 1.71676051329096 0.468401544266904 1 2.23606797749979
114 43 5.65370488076669 1.2204015362696 3.43879498936873 8.12616842703183
54 26 3.71045210924116 0.694654694814519 2.6638607032189 5.24954210457372
50 34 3.87627698551902 1.80792543502058 0.54232614454664 6.93668847929785
47 22 3.54822353231482 1.10548325894232 1.79818549498659 5.26194037679311
77 31 4.51457374992472 0.756173018432917 2.90412172556149 6.04673095605739
20 13 2.08102364411194 0.345028599769474 1.41839145496814 2.7196414661021
132 55 5.9635495078833 2.43358958305636 0.729315313459329 10.3837762840575
23 15 2.22764517146664 0.336381547646277 1.65058912041866 2.88521133445099
36 24 3.02849818301956 1.18148511999963 0.625 4.86216258469418
33 21 2.91545108417085 1.06858239355517 0.964212225300791 4.45893329932176
71 27 4.29157426664417 0.676433131685357 2.68307707796664 5.2117046701893
165 54 6.62692832494212 1.97145455119066 1.45072234975436 10.262885440182
206 79 7.40723342804822 2.71943944257595 1.10388165977838 12.5124069175636
18 13 1.91410890813317 0.367428436369029 1.37604183230756 2.62554587167324
21 14 2.16283980250018 0.495573785097716 1.51354429288694 2.95286094408491
58 36 3.94743644952932 1.4581079556263 1.00692049779955 6.29925039632141
9 8 1.20710678118655 0.207106781186548 1 1.4142135623731
60 31 3.98245677446231 1.52351548529056 0.277494363452983 6.58293761461229
18 12 1.95477615018027 0.309058035574307 1.5 2.5
26 19 2.49985110099833 0.959020094726657 0.753569529646124 3.9456136450508
114 48 5.26553322394259 1.75627154183738 0.29240976765871 7.5747719529296
22 14 2.17959179458175 0.302020435874399 1.67362493055143 2.68879003210267
22 15 2.20435989019683 0.501904956742345 1.37436854187255 2.98142396999972
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
12 10 1.46832385059276 0.306635075913475 1.11803398874989 1.80277563773199
24 15 2.32019879537088 0.484205873299044 1.14697670227235 3.03021818063027
10 10 1.37183472062349 0.606687315914773 0.5 2.06155281280883
